animal powered vehicle	hooves parts
crane ship	heavy-duty winches features
terminal building	commerce activities
diesel engine	tune-ups maintenance
full size van	longest size
paved runway	long structure
atmospheric region	mesosphere layers
registry ton	tonne related to
port facility	workers staffing
international airport	arriving/departing passengers function
deepwater port	docks infrastructure
coach railcar	seating features
head end car	safety purpose
cargo ship	global operational range
air traffic control procedure	flight planning software equipment
rolling stock	transportation used for
organizational process	data outputs
rail transportation system	less air pollution environmental impact
emergency road vehicle	rescue vehicle type
tank car	safety standards regulations
hopper dredger	deepen waterways function
petroleum product	generating electricity purpose
dry bulk cargo	non-perishable properties
fuel tank	truck location
full size van	business used for
spine car	past era
crane ship	building infrastructure purpose
long ton	large unit of measurement
long ton	uk origin
electrified railway	electric locomotives components
cubic foot	building construction context
broad gauge railway	strong characteristics
hoisting device	cables components
volume measure	dependent on measuring device precision
petroleum product	refining common applications
cargo handling	storing stages
legal charge	breach of contract circumstances
ship hold	storage of cargo function
truck trailer	construction industry
fishing vessel	transporting people function
arriving	show up action
jet engine	high pressure key features
ship berthing	maintenance function
etiologic agent	direct contact mode of transmission
transportation company	drivers employee roles
tank car	pressurized structure
cargo manifest	sender elements
managing	satisfaction goal
sport utility vehicle	off-road driving used for
transit terminal	information boards features
intentional process	has a purpose goal-directed
sea lane	regularly maintained maintenance
deepwater port	cranes infrastructure
cab car	government agency operator
container ship	deck structure
crew list	printed format
cable ship	remotely operated functionality
crew list	crew members type of people
guiding	indirect style
personal watercraft	beach environment
ship compartment	window access
gallery car	customized characteristics
arriving	flying method
motor scooter	low emissions environmental impact
broad gauge railway	used in russia standard
general cargo ship	freighter type
maritime blockade	prevention of trade definition
road vehicle	parking lot found in
petroleum product	waxy appearance
common carrier	on-time delivery responsibility
research ship	on expedition operations
lighter	ancient history
hopper dredger	construction sites location
cargo handling	security safety concerns
hoisting device	pulley system types
common carrier	liable for damage responsibility
electrified railway	limited range disadvantages
railway vehicle	freight operator
research ship	oceanic operations
single traffic lane	no passing rules
crew list	evaluation usage
pier	coastline location
light truck	outdoor recreation used for
water transportation system	engine mechanism
hangar bay	ramps equipment
tank car	shipping oil used for
railroad company	seasonal operation
ship register	port of registry types of information
glider airplane	recreational flying use
coach railcar	provide comfortable travel purpose
fire boat	fire department operator
road transportation system	motorcycle mode
canal system	china location
bulk cargo	well origin
common carrier	publicly available characteristic
crew list	confidential access level
single traffic lane	regular cleaning maintenance
ship deck	walking use
taking off	favorable weather
petroleum tanker ship	international trade operation
terminal building	gates features
commercial agent	negotiating functions
navigation light	harbor usage
cab car	single passenger capacity
cargo handling	shippers people involved
drilling ship	high-tech operation
fire engine	rescue operations purpose
offshore anchorage	charted features
electronic device	gaming function
jet airplane	landing gear features
ship agent	resolving disputes responsibilities
traffic signal	regulates traffic flow function
ship agent	shipping yard workplace
private railcar	station location
deck crane	unloading use
registry ton	standardizing shipping measurements purpose
broad gauge railway	1676 mm track size
sport utility vehicle	good visibility safety
transit route	off peak frequency
tractor trailer	long-haul transport vehicle type
fish factory ship	harvesting function
jet engine	factory location
shipping channel	dug construction
light truck	outdoor event location
taking off	space launch types
road transportation system	intersections infrastructure
managing	goal setting tasks
cargo manifest	logistics planning used for
commercial carrier	airport destination
electric device	plastic material
vehicle registration	vehicle ownership documents required
commercial shipping	bulk goods cargo
guiding	leader's responsibility responsibility
crane ship	winch equipment
cab car	propels freight train function
watercraft	sails features
rolling stock	metal materials
unpaved runway	limited accessibility challenges
moving violation	rush hour circumstances
freighter	government owned by
relational attribute	table scope
railroad track	warning lights safety features
deck cargo	construction sites origin
canal lock	regulate water levels purpose
cab car	tourist attraction purpose
river port	export function
passenger railway car	food and beverage services features
sea lane	maritime law regulations
parking garage	fee-based operation
broad gauge railway	standard gauge
government organization	policy making influence
contract carrier	loading and unloading responsibilities
shipping channel	environmental impact importance
offshore support ship	dive support vessel type
railroad bridge	allows train traffic function
turboprop airplane	variable noise level
radar or sonar	determines speed function
flatcar	freight yards commonly found in
port facility	dock location
general cargo ship	large capacity
transit route	payable with card fare
surfaced roadway	snow clearing maintenance
passenger railway car	wood structure
road transportation system	wearing seatbelts safety
transit terminal	information desk services
deck crane	large characteristics
ship register	for insurance use
cubic foot	metric system unit of measurement
ship cabin	kitchenette equipment
shipping channel	buoys and markers features
navigation light	color-coded characteristics
railcar carrier ship	harbors location
jet engine	complexity disadvantages
dining car	decorations features
flight schedule	important for travelers relevance
trade embargo	iranian oil embargo examples
radio navigation beacon	l-band operational frequency
air traffic control procedure	air traffic information
airport classification	general aviation category
canal	natural construction
cabotage	licensing regulation
traffic control process	yield signs elements
pusher tug	maritime industry used in
navigation buoy	marking channels function
crew list	airplane type
railcar carrier ship	logistics firm operated by
transportation system	track route
ship hatch	glass material
truck tractor	large cab features
motor scooter	hybrid propulsion
single traffic lane	regulate speed function
deck crane	harbor used in
river port	river terminal types
multiple track railway	multiple rails physical characteristic
sea lane	by dredging maintenance
terminal building	scanners security
vehicle crew	workshop location
offshore anchorage	chain features
water area	calm characteristic
petroleum pipeline	low pressure
vehicle carrier ship	serving ports function
canal lock gate	adjustable design
electric motor	can be quiet noise level
ship berthing	environmental impact concerns
train assembly	freight transportation used for
organic object	dependent within relationship
partial container ship	easy to modify features
pier	boating purpose
ship berthing	buoyage system safety aspect
cargo ship	merchant vessel type
air route	route distance components
relational attribute	describes a relationship characteristics
electronic device	metal material
container terminal	job creation importance
land vehicle	military used for
cargo handling	efficient objective
shipping channel	managed by government regulation
radar or sonar	detects distance function
deepwater port	artificial types
commercial carrier	subject to safety standards regulations
vehicle registration	owner information information contained
internal attribute	stored in database storage
managing	personal life areas of application
etiologic agent	plant host range
fishing vessel	transporting fish function
multiple track railway	freight rail example of
hangar bay	catwalks typical features
dual gauge railway	southeast asia location
local transit system	hybrid vehicles
multiple track railway	electronic interlocking features
animal powered vehicle	oxen-drawn plow common examples
commercial agent	marketing function
attaching	permanent result
whaling ship	crew quarters features
atmospheric region	upper altitude
sea lane	environmental concerns
drilling ship	environmental hazards risks
personal watercraft	water jet propulsion type
regulatory process	economic growth goals
motor scooter	footrest design
department of transportation	driving transportation modes
traffic signal	visual communication
land area	coastline boundary
railroad track	tunnel location
parking garage	enclosed structure
offshore supply ship	assisting in construction purpose
vehicle wheel	balancing maintenance
cargo handling	bulk goods types of cargo
dangerous goods	nuclear waste examples
dry bulk cargo	energy generation used for
air traffic control tower	controllers personnel
organic object	microorganism classification
radio navigation beacon	transmits navigation signals function
railway vehicle	freight transport use
containerization	web development popular in
traffic light	metal materials
drilling ship	semi-submersible structure
material handling equipment	bulky material handled
offshore supply ship	strong hull characteristics
commercial shipping	port facilities
attaching	using magnets method
navigation light	regulated by aviation authorities regulation
offshore anchorage	protecting ships function
rocket engine	high pressure operating conditions
fire engine	rescue missions used for
glider airplane	pilot-controlled operation
shipping lane	environmental concerns regulations
traffic control process	roads elements
navigation	finding directions purpose
spine car	streamlined design
transitway	border located at
tractor trailer	semi-truck type
set or class	category related concepts
ship berthing	buoys safety
ocean liner	historic technology
dual gauge railway	two parallel tracks structure
land area	medium size
fishing trawler	sail propulsion
internal attribute	hard to get accessibility
fuel tank	under car location
freight car	protecting goods purpose
maritime blockade	implemented by nations history
volume measure	scalable mathematical properties
vehicle carrier ship	container cranes features
arriving	student person
ship compartment	cranes equipment
ship register	regularly updated by
material handling equipment	emission reduction environmental impact
electric motor	magnetic field mechanism
mode of transit	ship vehicle
electrical signalling	enabling reflexes function
animal powered vehicle	transportation usage
portable bridge	foldable portability
transit terminal	lost and found services
railcar carrier ship	international operation
fire boat	water cannon features
ship berth	navigational aids safety
unpaved runway	uneven physical characteristic
ship berth	security features
moving violation	serious violation level
air route	travel category
dry bulk cargo	industrial production purpose
turboprop airplane	variable range
chemical tanker ship	specialized tanks design
organizational process	controlling components
air traffic control procedure	efficiency purpose
organic object	microorganism types
offshore anchorage	rules regulations
dry bulk cargo	covered storage condition
parking garage	large structure
intermodal transportation	freight forwarders industry
navigation buoy	small size
fuel tank	under the hood location
crew list	ship type
ship deck	upper location
containerization	oci types
rail transportation system	private company operated by
liner service	dependent on distance cost
passenger ship	seasonally operation
shipping lane	shortcut types
container ship	specialized for container carrying design
unpaved runway	limited maintenance
passenger ship	long distance route
ship deck	wind resistance weather dependence
glider airplane	competition used for
bulk cargo	massive volume
offshore support ship	providing supplies function
drilling ship	production operations
transit route	variable scheduling
hangar bay	parked aircraft storage
ship hold	needs inspection maintenance
fishing trawler	vessel type of boat
cab car	commuter rail used in
transit route	hourly duration
electric motor	induction principle
cable ship	telecommunications used for
radar facility	detect aircraft purpose
spine car	moving on tracks movement
railway junction	rural area location
attaching	avoiding damage difficulties
multiple track railway	automatic train control features
ship deck	stairways safety features
navigation light	airports located at
hangar bay	military found in
cargo container	cargo contents
personal watercraft	shaped like a boat design
land area	infinite size
bulk cargo	shipping line handled by
regulatory process	rules methods
turboprop airplane	cargo transport usage
canal lock gate	waterway located at
full size van	high characteristics
turbojet engine	polluting disadvantages
chemical tanker ship	ocean location
paved runway	aircraft landing function
spine car	metal material
ship compartment	in hull location
electric device	cylindrical shape
ship compartment	housing crew function
department of transportation	traffic management services provided
transit terminal	connect routes purpose
parking garage	security personnel security
crew list	updated regularly maintenance
attaching	more stable consequences
motor scooter	electric motor engine
bulk cargo	liquid bulk mode
transportation schedule	daily route route
broad gauge railway	non-standard gauge definition
military watercraft	river operational environment
unpaved runway	experimental aircraft usage
cargo handling	automated methods
train station	city center location
body motion	back muscle group
electrified railway	high-speed speed
set	category related concepts
relational attribute	primary key types
vehicle crew	pilot's license training
fishing boat	harbor located at
internal attribute	influences relationships importance
railway junction	signal systems physical structure
port facility	shipping function
volume measure	gallon unit
single traffic lane	traffic lights control
legal charge	agreement basis
containerization	operating system prerequisites
ship hatch	rotating design
broad gauge railway	used for heavy haulage usage
train station	arrivals operations
trade embargo	united nations implementation
dry bulk cargo	agricultural areas origin
cargo ship	varies route
air traffic control tower	telephone communication communication
tractor trailer	moving heavy loads uses
navigation light	port located at
container ship	reinforced structure
water transportation system	international law regulation
ship berthing	tanker type of ship
rail transportation system	signaling systems safety features
land vehicle	recreation use
cabotage	international cabotage types
vehicle carrier ship	operating in international waters operation
paved runway	signaling features
keeping	personal context
portable bridge	plastic materials
guiding	offering advice purpose
aid to navigation	warning function
arriving	landing type
canal	artificial type
outfit car	machine category
tractor trailer	deliver products function
glider airplane	low speed characteristics
electrical signalling	strong signal strength
shipping lane	waterway for transportation function
flight deck	runway features
passenger car	electric type of engine
ship hatch	passenger usage
cargo handling	supervisors workers
jet engine	aircraft applications
ore carrier ship	seas found in
cargo handling	secure safety
navigation light	search and rescue used for
parking garage	residential location
railway junction	human operation operation
signalling	initiate action purpose
ship hull	repainted maintenance
common carrier	expensive characteristics
flight schedule	flight duration features
keeping	keeping a secret example of
legal charge	bad credit score consequences of non-payment
deck cargo	loading handling
merchant marine	seafarers employment
road junction	diverging roads function
emergency road vehicle	firefighters staff
vehicle crew	garage workplace
transportation schedule	bus terminal destination
commercial carrier	flight services
commercial shipping	ship mode of transport
transit shelter	seats features
signalling	sports uses
vehicle wheel	propels function
commercial shipping	insurance regulation
air traffic control tower	maintenance staff personnel
ship deck	above water location
commercial airport	terminals facilities
diesel engine	compression ignition ignition method
air traffic control center	continuous training training
passenger car	garage located at
electronic signalling	smart home used for
regulatory process	public policy inputs
crane ship	deck structure
railway junction	quad type
ocean liner	hundreds passengers
head end car	car component
partial container ship	typically large size
passenger railway car	provide seats purpose
transportation authority	manage roads function
port facility	immigration security
land vehicle	passenger functionality
commercial carrier	global size
electrified railway	tourism purpose
commercial shipping	container shipping type
navigation light	shore-based installation
train station	parking services
contract carrier	truck type
signalling	direct purpose
light fixture	adjustable features
guiding	directing responsibility
radio navigation beacon	aircraft installation location
international airport	security screening operations
spine car	passengers purpose
shipping channel	economic importance impact
railcar carrier ship	propeller propulsion
dual gauge railway	to enable trains to run on different tracks purpose
water transportation system	pipeline network location
jet airplane	wings feature
deck crane	construction usage
legal charge	contract related to
port embargo	harm to economy effects
hangar bay	aircraft maintenance related to
multiple track railway	improve efficiency function
major air carrier	hub airports hubs
department of transportation	tunnels facilities
refrigerated compartment	home location
river port	regular maintenance maintenance
waterway junction	harbors features
portable bridge	connect two points function
crew list	difficult to update management
military watercraft	steel material
standard gauge railway	noise pollution challenges
head end car	car with train's control system purpose
broad gauge railway	russia countries
offshore anchorage	convenience purpose
long ton	industry industry relevance
jet airplane	sonic speed
deepwater port	constant upgrading maintenance
transportation system	railway route
offshore supply ship	nearshore location
merchant marine	tankers ships
organizational process	equipment resources
fishing boat	fishery operator
cargo ship	transporting containers used for
rocket engine	lifting off function
diesel engine	high maintenance disadvantage
rail transportation system	reliable advantages
department of transportation	significant budget
road vehicle	eight number of wheels
fish factory ship	canning function
drilling ship	seafaring type
standard gauge railway	standard gauge railway type
regulatory process	rule-making type
ship berthing	luxury types
signalling	direction functions
transportation device	engine characteristics
signalling	variable speed
crew list	paper format
internal attribute	mandatory usage
deck cargo	port stored at
land vehicle	bike category
canal lock	double lock types
mode of transit	natural environment
air traffic control center	technicians personnel
crane ship	cargo type
fire engine	building location
atmospheric region	edge of stratosphere boundary
flatcar	large characteristics
contract carrier	customized solutions features
navigation light	local regulation
sea lane	maritime authority regulated by
intermodal transportation	event logistics applications
rail transportation system	modernization history
cabotage	passenger types
etiologic agent	mutation mechanism of action
jet engine	airplane uses
dining car	train station location
ship register	flag contains information on
tractor trailer	shipping function
vehicle carrier ship	loading/unloading operations
propeller airplane	private use
tractor trailer	big wheels features
international airport	customs and immigration operations
long ton	2,000 pounds definition
general cargo ship	forklifts equipment
cargo handling	tracking technology
vehicle registration	multi-year duration
international airport	airport security infrastructure
freighter	ocean found at
arriving	on time state
refrigerated compartment	drawers components
petroleum tanker ship	loading/unloading at ports operation
flight deck	long characteristics
gallery car	contemporary design
freight car	transporting goods purpose
multiple track railway	infrastructure maintenance
port crane	cable component parts
tractor trailer	heavy-duty truck type
ship hull	width size
lighter	cleaning maintenance
ship register	maintained by government authority
partial container ship	transporting purpose
full size van	passenger vehicle industry classification
portable bridge	can be towed transportability
electric device	phone type
etiologic agent	treatment medical relevance
lighter	lights candles function
trade embargo	diplomatic tension consequences
multiple track railway	passenger transport used for
set or class	can contain any type of object elements
bill of lading	air types
transit terminal	flights types of transportation
train station	baggage claim facilities
hangar bay	sleek and modern design
gallery car	display cases features
petroleum product	transportation common applications
fish factory ship	catching function
offshore anchorage	marine safety purpose
department of transportation	country location
ship berthing	crew involved parties
rolling stock	generate electricity function
waterway junction	river delta example
mode of transit	few capacity
mode of transit	private characteristics
fishing boat	transporting crew used for
keeping	pet thing kept
turbojet engine	burns fuel working principle
air traffic control center	aircraft guidance responsibilities
spine car	metropolitan regions location
gallery car	carry goods function
contract carrier	handle cargo responsibilities
hangar bay	doors features
port facility	storage facilities features
navigation light	bright visibility
chemical tanker ship	concern for pollution environmental impact
aid to navigation	fixed installation
tugboat	assisting function
deck cargo	trade industry
port crane	loading ships used for
guiding	hikers practitioners
radar	air traffic control used for
refrigerated compartment	temperature checks maintenance
flight schedule	flight booking purpose
full size van	moving large items use
light truck	payload capacity features
vehicle crew	transporter role
relational attribute	defines relationships between tables function
long ton	2240 pounds size
ship agent	business education
emergency road vehicle	fire station located at
