railroad bridge	crossing rivers
water transportation system	dock
offshore support ship	anchor handling
radar facility	detect aircraft
container ship	has cranes
multiple track railway	separate
commercial shipping	goods
transit stop	train route
hopper dredger	waterway construction
contract carrier	ensuring delivery
containerization	reusable containers
ship hold	vessels
department of transportation	seaports
road vehicle	recreational use
ship hatch	curved
relational attribute	name
flight schedule	airport website
freighter	immense
standard gauge railway	signals
dual gauge railway	indian railways
passenger ship	providing entertainment
atmospheric region	nitrogen levels
ore carrier ship	steel hull
canal lock gate	gates
fire boat	responding to marine emergencies
taking off	fast
radio navigation beacon	roads
traffic signal	cities
airport classification	customs
signalling	vibration
ship agent	arranging logistics
keeping	hold
government organization	international treaties
ocean liner	cabins
local transit system	limited to specific areas
merchant marine	private shipping industry
trade embargo	eu embargo on iran
general cargo ship	efficient
electric motor	converts electrical energy to mechanical energy
land vehicle	noise
ship berth	water depth
vehicle carrier ship	sea route
radar or sonar	medium-range
transportation company	environmentally friendly
crew list	written by captain
road transportation system	traffic enforcement
pier	relaxing
truck tractor	heavy-duty vehicle
atmospheric region	varies with altitude
guiding	social
crane ship	propulsion
road vehicle	inspected
petroleum product	diesel
spine car	porsche
parking garage	parking ticket
partial container ship	less than a full container ship
dining car	dining experience
set	no repetition
ship cabin	life jacket
railway vehicle	slow speed
ship cabin	accommodation
transportation schedule	terminal
containerization	warehousing
emergency road vehicle	law enforcement officers
canal system	influence on cities
electrified railway	reduce traffic congestion
fixed bridge	cantilever
containerization	web development
railcar carrier ship	shipping
vehicle crew	hearing
cargo handling	distribution center
internal attribute	personality
container ship	efficient
volume measure	container
freighter	sea
managing	volunteer work
refrigerated compartment	frozen
sport utility vehicle	long road trips
broad gauge railway	used in early railways
intentional process	intentional outcome
passenger ship	manual
passenger ship	commerce
dining car	business class
trade embargo	international community
electronic signalling	internet
organic object	grows from soil
cab car	moving people
multiple track railway	branch line
cargo container	shipping goods
air traffic control center	computer networks
liner service	cruise ships
vehicle wheel	brakes
parking garage	locks
traffic control process	real-time
railroad track	laid down by machines
navigation	student
transit terminal	connecting people
common carrier	charging standard rates
intentional process	aiming for a specific outcome
partial container ship	many compartments
cargo container	storing inventory
liner service	logistics firm
ship berth	ship
intentional process	long-term
freight car	rails
dining car	moveable
aid to navigation	directing
traffic light	wait
fish factory ship	transportation routes
managing	hands-off
material handling equipment	portable
internal attribute	statistical
pusher tug	relatively slow
traffic control process	lanes
multiple track railway	ports
electric motor	torque output
land area	forests
train station	rush hour
hoisting device	load limiting
transit route	terminal
ship berth	pier
road junction	accident prone
cargo manifest	header
relational attribute	analyzing data
hoisting device	transferring goods
tank car	trucking companies
passenger railway car	offer sleeping accommodations
offshore support ship	transporting equipment
head end car	carrying luggage
spine car	railway station
liner service	shipping companies
intentional process	determines success
cubic foot	3 feet
canal system	periodic repairs
port city	diverse
aid to navigation	indicates safe passage
train station	sheltered areas
shipping lane	passenger ships
internal attribute	detectable
vehicle registration	vehicle ownership proof
cab car	seats multiple people
head end car	train company
river port	crane
transit terminal	food and beverage
transportation company	for-profit
navigation	rfid
organic object	minerals
cargo manifest	special handling
radar facility	coastline
electrical signalling	dopamine
portable bridge	large
unpaved runway	difficult to land on
multiple track railway	increased reliability
air traffic control procedure	radar guidance
outfit car	transportation
commercial airport	border control
cab car	has doors
sea lane	essential for national security
full size van	sprinter
volume measure	water bottle
cable ship	works at great depths
merchant marine	globalization
ship hold	ladders
partial container ship	cargo carrier
airport classification	parking
radar facility	automatic tracking
hangar bay	mechanical systems
light fixture	wood
track gauge	standardized in
hangar bay	space exploration
waterway junction	commercial
traffic light	timer
transportation system	privately owned
chemical tanker ship	sail
emergency vehicle	paramedic
internal attribute	affects behavior
tank car	specialized valves
motor scooter	japan
freighter	few people
private railcar	corporate executives
dining car	mobile
fishing vessel	freshwater
electrical signalling	regulating behavior
traffic light	stops traffic
road junction	two way
mass measure	absolute
major air carrier	variable
research ship	scientific instruments
ship hatch	replacement
department of transportation	grants
navigation buoy	regular inspections
freight car	large container
radar facility	radar waves
internal attribute	unique feature
transportation authority	executive director
fixed bridge	fixed
