dried almond	sweet
canned anchovies	sweet
fried anchovies	sweet
andouille sausage	sweet
andouillette sausage	sweet
kir	sweet
martini with lemon juice	sweet
martini	sweet
aperitif with anise	sweet
cooked apple	sweet
apple	sweet
apple juice	sweet
stewed apple	sweet
apple turnover	sweet
dried apricot	sweet
apricot juice	sweet
stewed apricots	sweet
apricot	sweet
artichoke with vinaigrette	sweet
asparagus with mayonnaise	sweet
asparagus with vinaigrette	sweet
avocado with lemon juice	sweet
avocado with mayonnaise	sweet
avocado with tuna	sweet
Babybel cheese	sweet
stir-fried bacon	sweet
baked ham	sweet
dried banana	sweet
banana	sweet
bass with lemon juice	sweet
bavarois fruit cake	sweet
beef with gravy	sweet
roast beef	sweet
beef bourguignon	sweet
alcohol-free beer	sweet
beetroot with vinaigrette	sweet
cooked bell pepper	sweet
marinated bell pepper	sweet
black blood pudding	sweet
blackberries with sugar and cream	sweet
blackberry jam	sweet
blackcurrant	sweet
Bleu d'Auvergne	sweet
Bleu d'Auvergne cheese with bread	sweet
Bleu de Bresse cheese	sweet
Bleu de Bresse cheese with bread	sweet
blueberry	sweet
blueberry jam	sweet
boar	sweet
bottled still water	sweet
boursin cheese	sweet
brandy	sweet
bread with bacon	sweet
breaded cod	sweet
breaded cod with ketchup	sweet
breaded cod with lemon juice	sweet
breakfast cereals with chocolate and milk	sweet
breakfast cereals with fruits	sweet
breakfast cereals with milk	sweet
brie cheese	sweet
brillat-savarin cheese	sweet
brioche	sweet
broccoli	sweet
broccoli purée	sweet
broccoli with cream	sweet
brown rice	sweet
brussels sprouts	sweet
bulgur	sweet
bun	sweet
bun with butter	sweet
bun with chocolate	sweet
bun with jam	sweet
bun with bitter orange marmelade	sweet
burbot	sweet
calf with gravy	sweet
roast calf	sweet
grilled calf livers	sweet
calf head with vinaigrette	sweet
camembert cheese	sweet
camembert cheese with bread	sweet
cancoillotte cheese	sweet
candied almond	sweet
liquorice candy	sweet
cantal cheese	sweet
caramel custard	sweet
cooked carrot	sweet
carrot juice	sweet
carrot	sweet
Carré frais	sweet
Carré frais with bread	sweet
raw carrot with lemon juice	sweet
carrot puree with cream	sweet
dry salted cashew nut	sweet
cassoulet	sweet
cauliflower	sweet
cauliflower with sauce	sweet
celeriac purée	sweet
celeriac remoulade	sweet
cervelas	sweet
champagne	sweet
champignons crus with vinaigrette	sweet
chaource cheese	sweet
friands au fromage	sweet
cherry	sweet
chestnut	sweet
chestnut purée	sweet
chicken cordon bleu	sweet
chicken cutlet	sweet
chicken with gravy	sweet
chicken roast	sweet
chili con carne	sweet
chinese fried rice	sweet
chipolata sausage	sweet
chocolate custard	sweet
chocolate bar	sweet
pain au chocolat	sweet
chocolate cake	sweet
chocolate cereal bar	sweet
chocolate chip cookie	sweet
chocolate croissant	sweet
chocolate with nut	sweet
chorizo	sweet
cider	sweet
clafoutis	sweet
clementine	sweet
cocktail with alcohol	sweet
coconut	sweet
steamed cod with mayonnaise	sweet
grilled cod with lemon juice	sweet
cod in aluminium wrapper with lemon juice	sweet
cod fritters	sweet
coffee with sugar	sweet
coffee without sugar	sweet
coffee custard	sweet
cola soda	sweet
comté cheese	sweet
cooked ham	sweet
cooked ham with salted butter	sweet
cooked ham with gherkin	sweet
cooked ham leg	sweet
coulommiers cheese	sweet
country-style bread	sweet
country-style bread with butter and jam	sweet
country-style bread with butter	sweet
couscous	sweet
semi-skimmed cow's milk	sweet
brown crab with mayonnaise	sweet
brown crab with vinaigrette	sweet
cracker with butter and jam	sweet
cracker with dairy fat	sweet
cracker with jam	sweet
cracker with Nutella spread	sweet
cream cake	sweet
crème brûlée	sweet
croissant	sweet
cucumber with vinaigrette	sweet
custard	sweet
custard tart	sweet
dandelions with vinaigrette	sweet
dark chocolate	sweet
dried date	sweet
donut	sweet
dry bean	sweet
dry goat cheese	sweet
dry sausage	sweet
dry-cured ham	sweet
roast duck	sweet
duck confit	sweet
foie gras	sweet
dumpling	sweet
edam cheese	sweet
egg custard	sweet
eggplant	sweet
emmental cheese	sweet
emmental cheese with bread	sweet
braised endive	sweet
cooked endive with sauce	sweet
endive salad	sweet
endives with ham	sweet
epoisses cheese	sweet
ewe cheese	sweet
expresso coffee	sweet
extruded salty crackers	sweet
fava beans	sweet
sautéed fennel	sweet
dried fig	sweet
fig	sweet
fish and seafood terrines	sweet
Flamby custard	sweet
