Clint Eastwood	won many Academy awards
Steven Spielberg	won many Academy awards
James Cameron	won many Academy awards
Kevin Costner	won many Academy awards
Martin Scorsese	won many Academy awards
Mel Gibson	won many Academy awards
Roman Polanski	won many Academy awards
Woody Allen	won many Academy awards
Robert Redford	won many Academy awards
Guillermo del Toro	won many Academy awards
Francis Ford Coppola	won many Academy awards
Ron Howard	won many Academy awards
Warren Beatty	won many Academy awards
Richard Attenborough	won many Academy awards
Damien Chazelle	won many Academy awards
Sam Mendes	won many Academy awards
Peter Jackson	won many Academy awards
Robert Zemeckis	won many Academy awards
Oliver Stone	won many Academy awards
William Friedkin	won many Academy awards
John Ford	won many Academy awards
Steven Soderbergh	won many Academy awards
Kathryn Bigelow	won many Academy awards
Ang Lee	won many Academy awards
John Huston	won many Academy awards
Billy Wilder	won many Academy awards
Elia Kazan	won many Academy awards
Danny Boyle	won many Academy awards
Vincente Minnelli	won many Academy awards
Sydney Pollack	won many Academy awards
Bernardo Bertolucci	won many Academy awards
Miloš Forman	won many Academy awards
Barry Levinson	won many Academy awards
Bob Fosse	won many Academy awards
Mike Nichols	won many Academy awards
Michael Cimino	won many Academy awards
Jonathan Demme	won many Academy awards
Frank Capra	won many Academy awards
Tony Richardson	won many Academy awards
Jane Campion	won many Academy awards
David Lean	won many Academy awards
Anthony Minghella	won many Academy awards
James L. Brooks	won many Academy awards
William Wyler	won many Academy awards
Joseph L. Mankiewicz	won many Academy awards
Michael Curtiz	won many Academy awards
George Cukor	won many Academy awards
Victor Fleming	won many Academy awards
Carol Reed	won many Academy awards
Robert Wise	won many Academy awards
John G. Avildsen	won many Academy awards
John Schlesinger	won many Academy awards
Jerome Robbins	won many Academy awards
Fred Zinnemann	won many Academy awards
George Roy Hill	won many Academy awards
George Stevens	won many Academy awards
Lewis Milestone	won many Academy awards
Franklin J. Schaffner	won many Academy awards
Robert Benton	won many Academy awards
Leo McCarey	won many Academy awards
Frank Borzage	won many Academy awards
Delbert Mann	won many Academy awards
Norman Taurog	won many Academy awards
Joel Coen	won many Academy awards
Frank Lloyd	won many Academy awards
