gold	high atomic number
hydrogen	high atomic number
oxygen	high atomic number
iron	high atomic number
aluminium	high atomic number
copper	high atomic number
nitrogen	high atomic number
carbon	high atomic number
mercury	high atomic number
sulfur	high atomic number
uranium	high atomic number
lithium	high atomic number
sodium	high atomic number
chlorine	high atomic number
silver	high atomic number
titanium	high atomic number
magnesium	high atomic number
potassium	high atomic number
phosphorus	high atomic number
lead	high atomic number
silicon	high atomic number
zinc	high atomic number
helium	high atomic number
calcium	high atomic number
tungsten	high atomic number
platinum	high atomic number
cobalt	high atomic number
iodine	high atomic number
nickel	high atomic number
arsenic	high atomic number
chromium	high atomic number
plutonium	high atomic number
bromine	high atomic number
boron	high atomic number
tin	high atomic number
fluorine	high atomic number
manganese	high atomic number
palladium	high atomic number
bismuth	high atomic number
antimony	high atomic number
argon	high atomic number
selenium	high atomic number
gallium	high atomic number
radium	high atomic number
beryllium	high atomic number
thallium	high atomic number
oganesson	high atomic number
polonium	high atomic number
radon	high atomic number
molybdenum	high atomic number
caesium	high atomic number
osmium	high atomic number
iridium	high atomic number
vanadium	high atomic number
rhodium	high atomic number
germanium	high atomic number
barium	high atomic number
cadmium	high atomic number
zirconium	high atomic number
tantalum	high atomic number
thorium	high atomic number
neon	high atomic number
californium	high atomic number
astatine	high atomic number
moscovium	high atomic number
strontium	high atomic number
krypton	high atomic number
niobium	high atomic number
tellurium	high atomic number
francium	high atomic number
xenon	high atomic number
rubidium	high atomic number
technetium	high atomic number
neodymium	high atomic number
indium	high atomic number
scandium	high atomic number
yttrium	high atomic number
ruthenium	high atomic number
tennessine	high atomic number
rhenium	high atomic number
gadolinium	high atomic number
lanthanum	high atomic number
nihonium	high atomic number
americium	high atomic number
einsteinium	high atomic number
ununennium	high atomic number
cerium	high atomic number
hafnium	high atomic number
lutetium	high atomic number
neptunium	high atomic number
samarium	high atomic number
promethium	high atomic number
curium	high atomic number
europium	high atomic number
livermorium	high atomic number
copernicium	high atomic number
actinium	high atomic number
flerovium	high atomic number
ytterbium	high atomic number
lawrencium	high atomic number
rutherfordium	high atomic number
roentgenium	high atomic number
praseodymium	high atomic number
dysprosium	high atomic number
protactinium	high atomic number
seaborgium	high atomic number
meitnerium	high atomic number
darmstadtium	high atomic number
erbium	high atomic number
thulium	high atomic number
fermium	high atomic number
holmium	high atomic number
nobelium	high atomic number
terbium	high atomic number
dubnium	high atomic number
hassium	high atomic number
mendelevium	high atomic number
bohrium	high atomic number
berkelium	high atomic number
unbinilium	high atomic number
unbiunium	high atomic number
unbibium	high atomic number
unbihexium	high atomic number
unbitrium	high atomic number
unbiquadium	high atomic number
unbiseptium	high atomic number
unbipentium	high atomic number
untriseptium	high atomic number
unsepttrium	high atomic number
unbioctium	high atomic number
unquadbium	high atomic number
unbiennium	high atomic number
untrinilium	high atomic number
unseptbium	high atomic number
untribium	high atomic number
untriunium	high atomic number
untriennium	high atomic number
unquadnilium	high atomic number
unquadtrium	high atomic number
untrioctium	high atomic number
unquadunium	high atomic number
untripentium	high atomic number
untriquadium	high atomic number
untrihexium	high atomic number
untritrium	high atomic number
unhexquadium	high atomic number
unhexoctium	high atomic number
unquadquadium	high atomic number
unpentunium	high atomic number
unpenttrium	high atomic number
unhexpentium	high atomic number
unpentpentium	high atomic number
unhexennium	high atomic number
unquadoctium	high atomic number
unquadpentium	high atomic number
unoctquadium	high atomic number
unhexseptium	high atomic number
unquadennium	high atomic number
unpentnilium	high atomic number
unquadhexium	high atomic number
unpentbium	high atomic number
unquadseptium	high atomic number
unpentquadium	high atomic number
unhexhexium	high atomic number
unhexnilium	high atomic number
ununseptium	high atomic number
