Burj Khalifa	tall building
Empire State Building	tall building
One World Trade Center	tall building
Petronas Towers	tall building
Taipei 101	tall building
Jeddah Tower	tall building
Willis Tower	tall building
Merdeka 118	tall building
Chrysler Building	tall building
The Shard	tall building
7 World Trade Center	tall building
Shanghai Tower	tall building
Ryugyong Hotel	tall building
Trump Tower	tall building
33 Thomas Street	tall building
Lakhta Centre	tall building
Palace of Culture and Science	tall building
Lotte World Tower	tall building
Abraj Al Bait	tall building
Plaza Hotel	tall building
Montparnasse Tower	tall building
111 West 57th Street	tall building
30 St Mary Axe	tall building
Landmark 81	tall building
432 Park Avenue	tall building
2 World Trade Center	tall building
One Vanderbilt	tall building
Woolworth Building	tall building
Turning Torso	tall building
Grande Arche	tall building
875 North Michigan Avenue	tall building
Trump International Hotel and Tower	tall building
40 Wall Street	tall building
30 Rockefeller Plaza	tall building
20 Fenchurch Street	tall building
Kuala Lumpur Tower	tall building
270 Park Avenue	tall building
Torre Glòries	tall building
Fontainebleau Las Vegas	tall building
Transamerica Pyramid	tall building
Oriental Pearl Tower	tall building
Salesforce Tower	tall building
Abeno Harukas	tall building
Shanghai World Financial Center	tall building
MetLife Building	tall building
Kingdom Centre	tall building
Seagram Building	tall building
International Commerce Centre	tall building
30 Hudson Yards	tall building
Singer Building	tall building
Grand Lisboa	tall building
Philadelphia City Hall	tall building
Palais Royale	tall building
Yokohama Landmark Tower	tall building
Ping An Finance Centre	tall building
3 World Trade Center	tall building
4 World Trade Center	tall building
The Brooklyn Tower	tall building
New York Times Building	tall building
The Venetian Macao	tall building
Mohammed VI Tower	tall building
Q1 Tower	tall building
Jin Mao Tower	tall building
One Canada Square	tall building
Bank of China Tower	tall building
Commerzbank Tower	tall building
Metropolitan Life Insurance Company Tower	tall building
U.S. Bank Tower	tall building
Edifício Copan	tall building
Tour First	tall building
Sunshine 60	tall building
Sky Tower	tall building
Azabudai Hills Mori JP Tower	tall building
Citigroup Center	tall building
X-Seed 4000	tall building
Wilshire Grand Center	tall building
One57	tall building
One57	tall building
Tao Zhu Yin Yuan	tall building
Aon Center	tall building
Tokyu Kabukicho Tower	tall building
22 Bishopsgate	tall building
Karla Tower	tall building
One Times Square	tall building
China Media Group Guanghua Road Office Area	tall building
Pirelli Tower	tall building
Umeda Sky Building	tall building
Plasco Building	tall building
122 Leadenhall Street	tall building
John Hancock Tower	tall building
Torre Velasca	tall building
Yanggakdo International Hotel	tall building
Tuntex Sky Tower	tall building
Capital Gate	tall building
The 42	tall building
HSBC Building	tall building
Toranomon Hills	tall building
Residential Intempo	tall building
270 Park Avenue	tall building
St. Regis Chicago	tall building
Roppongi Hills Mori Tower	tall building
Tour Duo	tall building
Trump World Tower	tall building
BMW Headquarters	tall building
Mercury City Tower	tall building
Vehicle Assembly Building	tall building
Lipstick Building	tall building
World One	tall building
Shibuya Scramble Square	tall building
220 Central Park South	tall building
Cathedral of Learning	tall building
The Palazzo	tall building
Bank of America Tower	tall building
China Zun	tall building
CBS Building	tall building
Deutsche Bank Building	tall building
MesseTurm	tall building
The San Remo	tall building
The San Remo	tall building
UniCredit Tower	tall building
56 Leonard Street	tall building
Triumph Palace	tall building
Hearst Tower	tall building
Mode Gakuen Cocoon Tower	tall building
Istanbul Sapphire	tall building
383 Madison Avenue	tall building
8 Canada Square	tall building
Tribune Tower	tall building
Thamrin Nine	tall building
1211 Avenue of the Americas	tall building
Tower 42	tall building
CTF Finance Centre	tall building
Heron Tower	tall building
Fereshteh Pasargad Hotel	tall building
Barolo Palace	tall building
Kasumigaseki Building	tall building
Kavanagh building	tall building
Evolution Tower	tall building
63 Building	tall building
Los Angeles City Hall	tall building
One Astor Plaza	tall building
Princess Tower	tall building
Gate Tower Building	tall building
Al Hamra Tower	tall building
Main Tower	tall building
Olympic Tower	tall building
The Sky Taipei	tall building
First Canadian Place	tall building
Columbia Center	tall building
One Liberty Plaza	tall building
Sathorn Unique Tower	tall building
Confinanzas Financial Center	tall building
Cayan Tower	tall building
Gate of Europe	tall building
Al Faisaliah Centre	tall building
Equitable Building	tall building
550 Madison Avenue	tall building
Allianz Tower	tall building
Seat of the European Central Bank	tall building
660 Fifth Avenue	tall building
Bank of America Plaza	tall building
8 Spruce Street	tall building
Turkish House	tall building
Ministry of Foreign Affairs of Russia main building	tall building
Kenyatta International Convention Centre	tall building
American Radiator Building	tall building
Solow Building	tall building
Torres Blancas	tall building
Torre Picasso	tall building
Warsaw Spire	tall building
Jardine House	tall building
Shinjuku Toho Building	tall building
JPMorgan Chase Tower	tall building
Aqua	tall building
Marina 101	tall building
Torre de Cristal	tall building
Helmsley Building	tall building
Wrigley Building	tall building
Almas Tower	tall building
Edificio España	tall building
Comcast Technology Center	tall building
Tianjin Chow Tai Fook Binhai Center	tall building
Bahrain World Trade Center	tall building
Central Plaza	tall building
Trump International Hotel and Tower	tall building
Złota 44	tall building
Taipei Twin Towers	tall building
Triangle	tall building
70 Pine Street	tall building
Manhattan Municipal Building	tall building
Guoco Tower	tall building
