Bahrain	large island area
Ireland	large island area
Easter Island	large island area
Crete	large island area
North Sentinel Island	large island area
Tenerife	large island area
Guam	large island area
Great Britain	large island area
Mallorca	large island area
Saint Helena	large island area
Taiwan	large island area
Principality of Sealand	large island area
Hokkaido	large island area
Rhodes	large island area
Santorini	large island area
Borneo	large island area
Alcatraz Island	large island area
Tahiti	large island area
Ibiza	large island area
Corfu	large island area
Bali Island	large island area
New Guinea	large island area
Java	large island area
Montserrat	large island area
Sakhalin	large island area
Newfoundland	large island area
Long Island	large island area
Madeira Island	large island area
Great Barrier Reef	large island area
Maui	large island area
Lanzarote	large island area
Gran Canaria	large island area
Socotra	large island area
Cyprus	large island area
Lampedusa	large island area
Fuerteventura	large island area
Sumatra	large island area
Bikini Atoll	large island area
Okinawa Island	large island area
Christmas Island	large island area
Guernsey	large island area
Elba	large island area
Mauritius Island	large island area
Saint Martin	large island area
Diego Garcia	large island area
Hispaniola	large island area
Bonaire	large island area
Kyushu	large island area
Staten Island	large island area
Little Saint James	large island area
Republic of Rose Island	large island area
Hawaii	large island area
Isle of Wight	large island area
Lesbos	large island area
Jeju Island	large island area
Stromboli	large island area
Iwo Jima	large island area
Ilha da Queimada Grande	large island area
Mykonos	large island area
Hashima Island	large island area
Saipan	large island area
Ascension	large island area
Honshu	large island area
Capri	large island area
Martha's Vineyard	large island area
Menorca	large island area
Antigua	large island area
Mont Saint-Michel	large island area
Zakynthos	large island area
Whakaari / White Island	large island area
Ellis Island	large island area
Deccan Plateau	large island area
Trinidad	large island area
Bouvet Island	large island area
Shikoku	large island area
Oahu	large island area
Rikers Island	large island area
Gotland	large island area
Snake Island	large island area
Lanai	large island area
Malta	large island area
Oak Island	large island area
Sulawesi	large island area
Tsushima Island	large island area
Mindanao	large island area
Wake Island	large island area
Luzon	large island area
Clipperton Island	large island area
Cayenne's Prison	large island area
Kefalonia	large island area
Vancouver Island	large island area
Phú Quốc	large island area
Ischia	large island area
La Palma	large island area
Djerba	large island area
Nantucket	large island area
Samos	large island area
Niʻihau	large island area
Rügen	large island area
South Georgia	large island area
Saba	large island area
Lindisfarne	large island area
Bornholm	large island area
Jan Mayen	large island area
Greenland	large island area
Kauai	large island area
Ko Samui	large island area
Isle of Skye	large island area
Ithaca	large island area
Guadalcanal	large island area
Boracay	large island area
Saint Kitts	large island area
Kos	large island area
Pitcairn Island	large island area
São Miguel Island	large island area
Zealand	large island area
Euboea	large island area
Tortuga	large island area
Komodo Island	large island area
Wrangel Island	large island area
Icaria	large island area
Saint Andrew	large island area
Roatán	large island area
Hans Island	large island area
Nan Madol	large island area
Sint Eustatius	large island area
Kish Island	large island area
Delos	large island area
La Gomera	large island area
Patmos	large island area
Sicily	large island area
Spitsbergen	large island area
Sylt	large island area
Chios	large island area
Naxos Island	large island area
Palm Jumeirah	large island area
Lefkada	large island area
Thasos	large island area
Saint Thomas	large island area
Gozo	large island area
Lombok Island	large island area
Baffin Island	large island area
Île de Ré	large island area
Bougainville Island	large island area
Unguja	large island area
Nevis	large island area
Usedom	large island area
Timor	large island area
Hong Kong Island	large island area
Yonaguni	large island area
Saint Croix	large island area
Santa Catalina Island	large island area
Roosevelt Island	large island area
Flores Island	large island area
Guadalupe Island	large island area
Mackinac Island	large island area
Palmyra Atoll	large island area
Alderney	large island area
Milos	large island area
Ball's Pyramid	large island area
Iturup	large island area
Aegina	large island area
St Michael's Mount	large island area
South Island	large island area
Lemnos	large island area
Johnston Atoll	large island area
Texel	large island area
Anglesey	large island area
Hydra	large island area
Jolo	large island area
El Hierro	large island area
Navassa Island	large island area
Poveglia	large island area
Paros	large island area
Kythira	large island area
Spinalonga	large island area
Fire Island	large island area
Krk	large island area
Margarita Island	large island area
Cozumel Island	large island area
Howland Island	large island area
Antikythera	large island area
île de la Cité	large island area
Liberty Island	large island area
Robben Island	large island area
Kiritimati	large island area
Okinotorishima	large island area
Tobago	large island area
Attu Island	large island area
North Island	large island area
Awaji Island	large island area
Tinian	large island area
Kwajalein	large island area
Skiathos	large island area
Abu Musa	large island area
Karpathos	large island area
Molokaʻi	large island area
Saaremaa	large island area
Minamitorishima	large island area
Samothrace	large island area
Murano	large island area
Qeshm Island	large island area
Ellesmere Island	large island area
Islay	large island area
Hvar	large island area
Dejima	large island area
Kalimantan	large island area
Amami Ōshima	large island area
Iona	large island area
Yakushima	large island area
Inishmore	large island area
Nusa Penida	large island area
Baker Island	large island area
K'gari	large island area
Korčula	large island area
Pheasant Island	large island area
Öland	large island area
Lord Howe Island	large island area
Sable Island	large island area
Kastellorizo	large island area
Isola Bella	large island area
Porquerolles	large island area
Hachijō-jima	large island area
Tarawa	large island area
Aogashima	large island area
Inaccessible Island	large island area
Skellig Michael	large island area
Favignana	large island area
Suomenlinna	large island area
Governors Island	large island area
Sado Island	large island area
Belle Île	large island area
Siargao	large island area
Ishigaki Island	large island area
Achill Island	large island area
Utøya	large island area
Mustique	large island area
Little Diomede Island	large island area
Oléron Island	large island area
Funafuti	large island area
Coco Island	large island area
Kodiak Island	large island area
Robinson Crusoe Island	large island area
Surtsey	large island area
Skorpios	large island area
Kunashir Island	large island area
Cape Breton Island	large island area
Syros	large island area
Neira Island	large island area
Hormuz Island	large island area
Bioko	large island area
Terceira Island	large island area
Big Diomede	large island area
Grand Cayman	large island area
Mors	large island area
Paxos	large island area
Bolshoy Ussuriysky Island	large island area
Burano	large island area
Madura	large island area
Sal	large island area
Isle of Noirmoutier	large island area
Ortygia	large island area
Ko Pha-ngan	large island area
Itsukushima	large island area
Tortola	large island area
Enewetak Atoll	large island area
Vulcano	large island area
Ponza	large island area
Isla Grande de Tierra del Fuego	large island area
New Britain	large island area
Gorée	large island area
Manitoulin Island	large island area
Skopelos	large island area
Rarotonga	large island area
Saint John	large island area
Leyte	large island area
Symi	large island area
Isla Holbox	large island area
Tabarca	large island area
Salamis Island	large island area
Yap	large island area
Mahé	large island area
Mainau	large island area
Valaam Island	large island area
Brač	large island area
Île d'Yeu	large island area
Isla Mujeres	large island area
Spetses	large island area
Gough Island	large island area
Funen	large island area
Majuli	large island area
İmralı	large island area
Imbros	large island area
Khortytsia	large island area
Tori-shima	large island area
New Providence	large island area
Roanoke Island	large island area
Nishinoshima	large island area
Isle of Portland	large island area
Runit	large island area
Amorgos	large island area
Boa Vista	large island area
Tanegashima	large island area
Miyako Island	large island area
Moyenne Island	large island area
Moruroa	large island area
Jarvis Island	large island area
Ko Tao	large island area
Goli otok	large island area
San Salvador Island	large island area
Kingman Reef	large island area
Wolin	large island area
Macquarie Island	large island area
Zhenbao Island	large island area
Ōkunoshima	large island area
Palawan	large island area
Gardiners Island	large island area
Isle of Arran	large island area
Hainan Island	large island area
St. Lawrence Island	large island area
Bear Island	large island area
Moorea	large island area
Isla de la Juventud	large island area
Enoshima	large island area
Pag	large island area
Montecristo	large island area
Pohnpei	large island area
Cabrera	large island area
Peter I Island	large island area
Vis	large island area
Devon Island	large island area
Föhr	large island area
Sentosa	large island area
Henderson Island	large island area
Isle of Mull	large island area
Yeouido	large island area
Barbuda	large island area
Mageshima	large island area
Taiping Island	large island area
Sumba Island	large island area
Vozrozhdeniya island	large island area
Flores Island	large island area
Tiran Island	large island area
Necker Island	large island area
Sri Lanka	large island area
Tinos	large island area
Amsterdam Islands	large island area
