Mount Everest	tall mountain
Mount Takahe	tall mountain
K2	tall mountain
Mount Kilimanjaro	tall mountain
Mount Fuji	tall mountain
Mount Vesuvius	tall mountain
Mount Rushmore	tall mountain
Mont Blanc	tall mountain
Mount Etna	tall mountain
Temple Mount	tall mountain
Mount Kailasa worshipped by Shaivits, Hindus, Buddists and Bon	tall mountain
Mount Ararat	tall mountain
Mount Elbrus	tall mountain
Mount Olympus	tall mountain
Phlegraean Fields	tall mountain
Matterhorn	tall mountain
Mount Sinai	tall mountain
Mount St. Helens	tall mountain
Denali	tall mountain
Aconcagua	tall mountain
Mount Athos	tall mountain
Popocatépetl	tall mountain
Uluru	tall mountain
Yellowstone volcano	tall mountain
Kanchenjunga	tall mountain
Olympus Mons	tall mountain
Teide	tall mountain
Mauna Kea	tall mountain
Nanga Parbat	tall mountain
Mount Rainier	tall mountain
Toba catastrophe theory	tall mountain
Mauna Loa	tall mountain
Zugspitze	tall mountain
Tambora	tall mountain
Devils Tower	tall mountain
Mount of Olives	tall mountain
Ben Nevis	tall mountain
Chimborazo	tall mountain
Mayon Volcano	tall mountain
Nevado del Ruiz	tall mountain
El Capitan	tall mountain
Annapurna I	tall mountain
Mount Whitney	tall mountain
Pinatubo	tall mountain
Kīlauea	tall mountain
Loreley	tall mountain
Mount Hermon	tall mountain
Mount Roraima	tall mountain
Baekdu Mountain	tall mountain
Mount Washington	tall mountain
Mount Kosciuszko	tall mountain
Eiger	tall mountain
Lhotse	tall mountain
Grossglockner	tall mountain
Cotopaxi volcano	tall mountain
Table Mountain	tall mountain
Mount Nemrut	tall mountain
Puy de Dôme	tall mountain
Damavand	tall mountain
Mount Shasta	tall mountain
Mount Nebo	tall mountain
Puncak Jaya	tall mountain
Broad Peak	tall mountain
Mount Bromo	tall mountain
Mount Arafat	tall mountain
Mount Abu	tall mountain
Pico de Orizaba	tall mountain
Mount Unzen	tall mountain
Taumatawhakatangihangakōauauotamateapōkaiwhenuakitānatahu	tall mountain
Genting Highlands	tall mountain
Merapi	tall mountain
Mount Erebus	tall mountain
Pikes Peak	tall mountain
Monte Cassino	tall mountain
Parícutin	tall mountain
Sněžka	tall mountain
Montserrat	tall mountain
Ball's Pyramid	tall mountain
Mont Ventoux	tall mountain
Jabal al-Nour	tall mountain
El Peñón de Guatapé	tall mountain
Mount Tabor	tall mountain
Mount Kinabalu	tall mountain
