Colosseum	high latitude
Pantheon	high latitude
Florence Cathedral	high latitude
Castel Sant'Angelo	high latitude
Altare della Patria	high latitude
Uffizi Gallery	high latitude
Palace of Caserta	high latitude
Palatine Hill	high latitude
Castel del Monte	high latitude
Palazzo Vecchio	high latitude
Doge's Palace	high latitude
Verona Arena	high latitude
Basilica of Santa Croce	high latitude
Palazzo Pitti	high latitude
Basilica of Santa Maria Novella	high latitude
Domus Aurea	high latitude
Baths of Caracalla	high latitude
Scrovegni Chapel	high latitude
Ara Pacis	high latitude
Hadrian's Villa	high latitude
Mole Antonelliana	high latitude
Galleria Borghese	high latitude
Galleria dell'Accademia	high latitude
Valle dei Templi	high latitude
Villa d'Este	high latitude
Pyramid of Cestius	high latitude
Miramare Castle	high latitude
Capitoline Museums	high latitude
Basilica of San Lorenzo	high latitude
Sacra di San Michele	high latitude
Catacombe dei Cappuccini	high latitude
Palazzo Medici Riccardi	high latitude
Abbey of Monte Cassino	high latitude
Brunelleschi's dome	high latitude
Medici Chapels	high latitude
Selinunte	high latitude
Villa Romana del Casale	high latitude
Pinacoteca di Brera	high latitude
Boboli Gardens	high latitude
Segesta	high latitude
Villa del Balbianello	high latitude
Cappella Sansevero	high latitude
Naples National Archaeological Museum	high latitude
Museo Egizio	high latitude
Blue Grotto	high latitude
Basilica of Sant'Apollinare Nuovo	high latitude
Vittoriale degli italiani	high latitude
Palazzo dei Normanni	high latitude
Gardens of Bomarzo	high latitude
Royal Palace of Naples	high latitude
Baptistry San Giovanni	high latitude
Ancient theatre of Taormina	high latitude
Villa Farnese	high latitude
Basilica of Superga	high latitude
Pozzo di S. Patrizio	high latitude
Mausoleum of Theodoric	high latitude
Brancacci Chapel	high latitude
Olympic Theatre	high latitude
National Museum of Capodimonte	high latitude
Gallerie dell'Accademia	high latitude
Basilica of Sant'Apollinare in Classe	high latitude
Juliet's House	high latitude
Sybaris	high latitude
Royal Palace of Turin	high latitude
Peggy Guggenheim Collection	high latitude
Bargello National Museum	high latitude
Palace of Venaria	high latitude
Villa Farnesina	high latitude
MAXXI – National Museum of the 21st Century Arts	high latitude
Torrechiara Castle	high latitude
Vasari Corridor	high latitude
Palazzina di caccia of Stupinigi	high latitude
Campo santo	high latitude
Ca' d'Oro	high latitude
Giardino dei Tarocchi	high latitude
The National Cinema Museum	high latitude
Risiera di San Sabba	high latitude
Basilica Palladiana	high latitude
Villa Jovis	high latitude
Palazzo Carignano	high latitude
Rocchetta Mattei	high latitude
Doria Pamphilj Gallery	high latitude
Aragonese Castle	high latitude
Castello Estense	high latitude
Scaligero Castle	high latitude
Scuola Grande di San Rocco	high latitude
Royal Palace of Milan	high latitude
Palazzo Ducale Mantua	high latitude
Palazzo Colonna	high latitude
St Mark's Clocktower	high latitude
archaeological excavations of Pompeii	high latitude
Certosa di Padula	high latitude
Palazzo della Ragione	high latitude
Galleria Nazionale d'Arte Moderna e Contemporanea	high latitude
Fort Bard	high latitude
Porto Flavia	high latitude
Museo Nazionale Romano	high latitude
Villa Carlotta	high latitude
Fenestrelle Fort	high latitude
Palace of Monza	high latitude
Lighthouse of Genoa	high latitude
Torre del Mangia	high latitude
Museo Correr	high latitude
Fossanova Abbey	high latitude
Secret Museum	high latitude
Museo dell'Opera del Duomo	high latitude
Museum of San Marco	high latitude
Neptune	high latitude
"Museo della Scienza e della Tecnologia ""Leonardo da Vinci"""	high latitude
Villa of Livia	high latitude
Basilica of Our Lady of the Assumption, St. Hermagoras and St. Fortunatus	high latitude
Villa Necchi Campiglio	high latitude
Certosa di San Martino	high latitude
Trieste Cathedral	high latitude
Monte Grappa war memorial	high latitude
Su Nuraxi di Barumini	high latitude
Abbazia di Pomposa	high latitude
Castello Maniace	high latitude
Fondazione Prada	high latitude
Arian Baptistry	high latitude
Sancarlone	high latitude
Ognissanti Church	high latitude
Guinigi Tower	high latitude
Galleria Nazionale d'Arte Antica	high latitude
Triennale di Milano	high latitude
Fénis Castle	high latitude
Villa San Michele	high latitude
Fossoli concentration camp	high latitude
Roman amphitheatre of Santa Maria Capua Vetere	high latitude
Palazzo Grassi	high latitude
Villa Lante	high latitude
Santa Reparata, Florence	high latitude
Piscina Mirabilis	high latitude
Palazzo della Pilotta	high latitude
Holocaust memorial in Milan, Italy	high latitude
Experimental Centre of Cinematography	high latitude
Tomb of Caecilia Metella	high latitude
Ca' Rezzonico	high latitude
Himera	high latitude
Museo Galileo	high latitude
Chiesa di San Cataldo	high latitude
Museum of the Ara Pacis	high latitude
Punta della Dogana	high latitude
Villa Pisani	high latitude
Neapolis	high latitude
Pinacoteca Ambrosiana	high latitude
Museum of Roman Civilization	high latitude
Castello Orsini-Odescalchi	high latitude
Castello Normanno-Svevo	high latitude
Castello del Valentino	high latitude
Palazzo Abatellis	high latitude
Villino Florio	high latitude
San Fruttuoso Abbey	high latitude
Museo del Novecento	high latitude
Palazzo Schifanoia	high latitude
Castle of Racconigi	high latitude
Santuario della Verna	high latitude
San Francesco, Arezzo	high latitude
Sant'Anna di Stazzema	high latitude
Villa Cimbrone	high latitude
Basilica of San Gaudenzio	high latitude
Monte d'Accoddi	high latitude
Belvedere	high latitude
Neustift Abbey	high latitude
Fiumara d'Arte	high latitude
Labirinto della Masone	high latitude
Tharros	high latitude
Franzensfeste Fortress	high latitude
Galleria Ferrari	high latitude
Palace of Capodimonte	high latitude
Villa della Regina	high latitude
Villa Pignatelli	high latitude
Nora	high latitude
Museum Ferruccio Lamborghini	high latitude
Santa Caterina del Sasso	high latitude
Farfa Abbey	high latitude
National Etruscan Museum	high latitude
Villa Rufolo	high latitude
Catacombs of San Gennaro	high latitude
Naxos	high latitude
Villa Medici	high latitude
Palazzo Borromeo	high latitude
Galleria Spada	high latitude
Museo Nazionale dell'Automobile	high latitude
Madonna del Ghisallo	high latitude
Castle of Rivoli	high latitude
Runkelstein Castle	high latitude
Pinacoteca Nazionale di Bologna	high latitude
Castel Savoia	high latitude
Accademia Carrara	high latitude
Italian Air Force Museum	high latitude
Museo Poldi Pezzoli	high latitude
Castelvecchio Museum	high latitude
Villa Medici at Careggi	high latitude
National Archaeological Museum	high latitude
Villa Manin	high latitude
Collegiate Church of San Gimignano	high latitude
Museum of Contemporary Art of Rome	high latitude
Santa Maria della Scala	high latitude
Ca' Pesaro	high latitude
Palazzo Altemps	high latitude
South Tyrol Museum of Archaeology	high latitude
Villa of the Quintilii	high latitude
Torre dei Lamberti	high latitude
Galleria d'arte moderna di Milano	high latitude
Territorial Abbey of Santa Maria di Grottaferrata	high latitude
Palazzina Cinese	high latitude
Necropolis Banditaccia	high latitude
Casamari Abbey	high latitude
Museum of the Treasure of St. Gennaro	high latitude
MUDETEC	high latitude
Teatro Farnese	high latitude
basilica di Saccargia	high latitude
Temple of Minerva Medica	high latitude
Accademia di San Luca	high latitude
Villa Emo	high latitude
bioparco	high latitude
Sacro Monte di Varallo	high latitude
Fortress of San Leo	high latitude
Villa Contarini	high latitude
Necropolis of Monterozzi	high latitude
Pio Monte della Misericordia	high latitude
Volandia	high latitude
National Museum of Magna Græcia	high latitude
Megara Hyblaea	high latitude
Cattolica di Stilo	high latitude
Pozzo sacro di Santa Cristina	high latitude
Palazzo Massimo alle Terme	high latitude
San Giovanni in Venere Abbey	high latitude
Royal Palace of Genoa	high latitude
Roman amphitheatre of Catania	high latitude
House of Cristoforo Colombo	high latitude
Borgo medievale (Turin)	high latitude
Oratorio di Santa Maria in Valle	high latitude
Centrale Montemartini	high latitude
Galleria Palatina	high latitude
Heraclea Lucania	high latitude
Ricetto di Candelo	high latitude
Pietrarsa railway museum	high latitude
Santa Maria della Spina	high latitude
Certosa di Trisulti	high latitude
Lilibaeum	high latitude
Villa San Martin	high latitude
Palazzo Pallavicini-Rospigliosi	high latitude
Monastery of Saint Benedict	high latitude
Scuola di San Giorgio degli Schiavoni	high latitude
Morgantina	high latitude
François Tomb	high latitude
Palazzo Rosso	high latitude
Palazzo Davanzati	high latitude
Florence Charterhouse	high latitude
Casa Buonarroti	high latitude
San Romedio Sanctuary	high latitude
Rocca Borromeo di Angera	high latitude
Zoosafari Fasanolandia	high latitude
Castel Beseno	high latitude
Uffizi Gallery	high latitude
Altinum	high latitude
Villa Monastero	high latitude
MUSE	high latitude
Holy Mountain of Orta	high latitude
Staffarda Abbey	high latitude
House of Dante	high latitude
military shrine of Asiago	high latitude
Fondaco dei Turchi	high latitude
Museum of the Risorgimento	high latitude
Taufers Castle	high latitude
Galleria Sabauda	high latitude
Gipsoteca canoviana	high latitude
Palazzo Piccolomini	high latitude
Villa La Petraia	high latitude
Parco Natura Viva	high latitude
Rotonda della Besana	high latitude
Marienberg Abbey	high latitude
Royal Palace of Carditello	high latitude
Fort of Exilles	high latitude
Sabbionara Castle	high latitude
Monastery of Saint Scholastica	high latitude
Opificio delle pietre dure	high latitude
Tiscali (Tiscali Village)	high latitude
Roman amphitheatre of Lecce	high latitude
Hospital of Santa Maria Nuova	high latitude
Studiolo di Federico da Montefeltro	high latitude
Museum of Modern and Contemporary Art of Trento and Rovereto	high latitude
Tempio Voltiano	high latitude
Museo Civico di Storia Naturale di Milano	high latitude
National Gallery of Umbria	high latitude
Castle of Moncalieri	high latitude
La Mortella	high latitude
Cuba Palace	high latitude
Arechi Castle	high latitude
Museum of the Liberation of Rome	high latitude
Palazzo delle Esposizioni	high latitude
Agliè Castle	high latitude
Issogne Castle	high latitude
Castello di Arco	high latitude
Palazzo Maffei	high latitude
Rocca Maggiore	high latitude
Temple of Clitumnus	high latitude
Soluntum	high latitude
Santu Antine	high latitude
Galleria Estense	high latitude
Palazzo Bianco	high latitude
Pinacoteca Giovanni e Marella Agnelli	high latitude
Villa Carpena	high latitude
Galleria nazionale di Parma	high latitude
Sacro Monte di Crea	high latitude
Base Tuono	high latitude
Masino Castle	high latitude
English Cemetery, Florence	high latitude
Studiolo of Francesco I	high latitude
Castello della Manta	high latitude
Villa Grock	high latitude
Città della Scienza	high latitude
Palazzo Zevallos Stigliano	high latitude
Belvedere di San Leucio	high latitude
Keats-Shelley Memorial House	high latitude
Pisa Botanic Garden and Museum	high latitude
"Università di Firenze Museo Zoologico ""La Specola"""	high latitude
Palatine Museum	high latitude
Basilica of San Bernardino	high latitude
Zoomarine	high latitude
Romito Cave	high latitude
Roman Theatre of Aosta	high latitude
Santa Maria dello Spasimo	high latitude
Museo di Santa Giulia	high latitude
Regional Archaeological Museum Antonino Salinas	high latitude
Villa Nobel	high latitude
Tavole Palatine	high latitude
Underground basilica of Porta Maggiore	high latitude
Chiesa Madre	high latitude
Museo Enzo Ferrari	high latitude
Castello Normanno	high latitude
Saepinum	high latitude
Castle Schenna	high latitude
Pinacoteca Nazionale	high latitude
Villa Maxentii	high latitude
birthplace of Leonardo da Vinci	high latitude
Zoom di Cumiana	high latitude
Fondazione Querini Stampalia	high latitude
Monastery of Fonte Avellana	high latitude
Stazione Zoologica Anton Dohrn	high latitude
Museum Palazzo Massimo alle Terme	high latitude
Museo archeologico regionale Paolo Orsi	high latitude
San Pietro, Tuscania	high latitude
Villa Reale di Marlia	high latitude
Camera di San Paolo	high latitude
torre dell'Elefante	high latitude
Alfa Romeo Museum	high latitude
Stibbert Museum	high latitude
Leonardo Museum	high latitude
Palazzo Doria Tursi	high latitude
Villa Verdi	high latitude
Galata - Museo del mare	high latitude
Vezzolano Abbey	high latitude
