Liberty Bell	invented long ago
clavichord	invented long ago
Tsar Bell	invented long ago
15.ai	invented long ago
Logic Pro	invented long ago
Pro Tools	invented long ago
Sea organ	invented long ago
Fender Jaguar	invented long ago
Big Ben	invented long ago
Trigger	invented long ago
Oxford Electric Bell	invented long ago
Utau	invented long ago
Zytglogge	invented long ago
Petersglocke	invented long ago
Divje Babe flute	invented long ago
LMMS	invented long ago
Tipu's Tiger	invented long ago
Sigismund Bell	invented long ago
PreSonus Studio One	invented long ago
Wanamaker Organ	invented long ago
Ibanez Tube Screamer	invented long ago
Megpoid	invented long ago
Ardour	invented long ago
Ankeruhr	invented long ago
Kaito	invented long ago
Reason	invented long ago
Messiah Stradivarius	invented long ago
CeVIO Creative Studio	invented long ago
Gibson Stradivarius	invented long ago
Il Cannone Guarnerius	invented long ago
Great Bell of Dhammazedi	invented long ago
Filimonovo toys	invented long ago
Big Muff	invented long ago
Soil	invented long ago
Lady Blunt Stradivarius	invented long ago
Mingun Bell	invented long ago
The Fool	invented long ago
Korg Kronos	invented long ago
BBC Domesday Project	invented long ago
Fender Telecaster Thinline	invented long ago
Balangiga bells	invented long ago
Uni-Vibe	invented long ago
Royal Albert Hall Organ	invented long ago
Digitech Whammy	invented long ago
Fuzz Face	invented long ago
Gibson ES-345	invented long ago
Boss HM-2	invented long ago
Csound	invented long ago
Rosegarden	invented long ago
Japanese Peace Bell	invented long ago
Panharmonicon	invented long ago
Netherlands Carillon	invented long ago
Brownie	invented long ago
Gibson SG Special	invented long ago
Freedom Bell	invented long ago
Dolphin Stradivarius	invented long ago
Octavia	invented long ago
Bell of Good Luck	invented long ago
Moscow Kremlin	invented long ago
Scream Tracker	invented long ago
Cakewalk	invented long ago
Carillon in Berlin-Tiergarten	invented long ago
string tambourine	invented long ago
MilkyTracker	invented long ago
Lipinski Stradivarius	invented long ago
MXR Phase 90	invented long ago
Wave Organ	invented long ago
Bridge of Nations Bell	invented long ago
Tom Tyler Stradivarius	invented long ago
Q10861611	invented long ago
Q2030117	invented long ago
Ames Stradivarius	invented long ago
Molitor Stradivarius	invented long ago
Schnitger organ of St. Jacobi Hamburg	invented long ago
Adungu	invented long ago
Organ of the Basilica of St. Martin	invented long ago
Spreckels Organ Pavilion	invented long ago
Viotti Stradivarius	invented long ago
Riga Cathedral pipe organ	invented long ago
Hellier Stradivarius	invented long ago
Alard–Baron Knoop Stradivarius	invented long ago
Blackpool High Tide Organ	invented long ago
Lord Dunn–Raven Stradivarius	invented long ago
Pipe organ of Basilique Notre-Dame de Valère	invented long ago
Lullusglocke	invented long ago
Fender Reverb Unit	invented long ago
Q52161922	invented long ago
Nano guitar	invented long ago
The Brudevælte Lurs	invented long ago
Betts Stradivarius	invented long ago
KRISTAL Audio Engine	invented long ago
Concordia 2000	invented long ago
Great organ of Nancy Cathedral	invented long ago
Le Brun Stradivarius	invented long ago
Vox Maris	invented long ago
Hammer Stradivarius	invented long ago
Audio-Technica AT-LP120	invented long ago
Great organ of St.-Marien-Kirche	invented long ago
Lamont Harp	invented long ago
Kreisler Bergonzi	invented long ago
