Danube	long river
Nile	long river
Amazon	long river
Rhine	long river
Ganges	long river
Volga	long river
Euphrates	long river
Dnieper	long river
Jordan River	long river
Indus River	long river
Po	long river
Yangtze	long river
River Thames	long river
Elbe	long river
Elbe	long river
Mekong River	long river
Tigris	long river
Yellow River	long river
Colorado River	long river
Rubicon	long river
Brahmaputra River	long river
Congo	long river
Godavari River	long river
Rio Grande	long river
Niger River	long river
Río de la Plata	long river
Narmada	long river
Yamuna	long river
Vistula	long river
Hudson River	long river
Amu Darya	long river
Vltava	long river
Amur River	long river
Missouri River	long river
Don	long river
Tiber	long river
Meuse	long river
Ob	long river
Yenisey	long river
St. Lawrence River	long river
St. Lawrence River	long river
Oder	long river
Oder	long river
Tagus River	long river
Krishna River	long river
Moselle	long river
Ohio River	long river
Paraná River	long river
Lena River	long river
Syr Darya	long river
Dniester	long river
Ural River	long river
Sava	long river
Irtysh	long river
Ebro	long river
Douro	long river
Aras River	long river
Columbia River	long river
Neva	long river
Lake Biwa	long river
Orinoco River	long river
Potomac River	long river
Tisza	long river
Acheron	long river
Main	long river
Shatt al-Arab	long river
Neman	long river
White Nile	long river
Guadalquivir	long river
Moskva River	long river
Mahanadi	long river
Blue Nile	long river
Kura River	long river
Drava	long river
Han River	long river
Little Zab	long river
Spree	long river
Chambal River	long river
Yukon River	long river
Adige	long river
Sutlej	long river
Oka	long river
Chao Phraya River	long river
Inn	long river
River Severn	long river
Weser	long river
Daugava	long river
Okavango River	long river
Western Bug	long river
Tapti River	long river
Orontes River	long river
Murray River	long river
Murray River	long river
Mackenzie River	long river
Jhelum River	long river
Rio Negro	long river
Magdalena River	long river
Beas River	long river
Kama	long river
Guadiana	long river
Donets	long river
Red River	long river
Maritsa	long river
Neckar	long river
Chenab River	long river
Teesta River	long river
Los Angeles River	long river
Orange River	long river
Helmand River	long river
Chicago River	long river
Aare	long river
Snake River	long river
Red River	long river
Tungabhadra River	long river
Limpopo River	long river
Angara	long river
Niagara River	long river
Southern Bug	long river
Susquehanna River	long river
Ghaggar-Hakra river	long river
Cheonggyecheon	long river
Delaware River	long river
Essequibo River	long river
Prut	long river
Irrawaddy River	long river
Ravi River	long river
Damodar River	long river
Hooghly River	long river
Yalu River	long river
Kosi River	long river
Uruguay River	long river
Neretva	long river
Drina	long river
Gandaki River	long river
Pripyat River	long river
Pripyat River	long river
Caño Cristales	long river
Isar	long river
São Francisco River	long river
Havel	long river
Warta	long river
Tone River	long river
Arkansas River	long river
Pearl River	long river
Kuban	long river
Saône	long river
Brazos River	long river
Paraguay River	long river
Senegal River	long river
Dajabón River	long river
Colorado River	long river
Tennessee River	long river
Shinano River	long river
Kızılırmak River	long river
Ili River	long river
Alaknanda River	long river
Ems	long river
Ghaghara River	long river
Son River	long river
Dordogne	long river
Ruhr	long river
Virgin River	long river
Terek	long river
Saale	long river
Vardar	long river
Mur	long river
Padma River	long river
Sabarmati	long river
Marne	long river
Wadi al-Rummah	long river
Subarnarekha River	long river
