Carolina Reaper	high scoville value
jalapeño	high scoville value
cayenne pepper	high scoville value
Pepper X	high scoville value
habanero	high scoville value
bhut jolokia	high scoville value
piri piri	high scoville value
bird's eye chili	high scoville value
Scotch bonnet	high scoville value
Serrano pepper	high scoville value
Dragon's Breath (chili pepper)	high scoville value
poblano	high scoville value
mirasol chili	high scoville value
Trinidad Scorpion Butch T	high scoville value
Chile de árbol	high scoville value
Tabasco pepper	high scoville value
Espelette pepper	high scoville value
Naga Viper pepper	high scoville value
pequin pepper	high scoville value
Naga Morich	high scoville value
siling labuyo	high scoville value
Fresno pepper	high scoville value
Red Savina	high scoville value
Capsicum chinense ʽMadame Jeanette’	high scoville value
Cubanelle	high scoville value
lemon drop	high scoville value
Hungarian wax pepper	high scoville value
Datil pepper	high scoville value
Capsicum baccatum ‘Ají Panca’	high scoville value
siling haba	high scoville value
Santa Fe Grande pepper	high scoville value
Adjuma	high scoville value
Bishop's Crown	high scoville value
Dorset Naga	high scoville value
fish pepper	high scoville value
chilhuacle negro	high scoville value
Chimayó pepper	high scoville value
Rocoto red	high scoville value
NuMex 'Twilight'	high scoville value
Jamaican hot red	high scoville value
Dedo de Moca	high scoville value
NuMex ʽBig Jim’	high scoville value
Capsicum annuum ‘Española Improved’	high scoville value
