lion	heavy species
Hydrochoerus hydrochaeris	heavy species
tiger	heavy species
Giant Panda	heavy species
Varanus komodoensis	heavy species
brown bear	heavy species
jaguar	heavy species
cheetah	heavy species
Ailurus fulgens	heavy species
Raphus cucullatus	heavy species
wolverine	heavy species
polar bear	heavy species
Myocastor coypus	heavy species
honey badger	heavy species
Northern Raven	heavy species
Golden Eagle	heavy species
narwhal	heavy species
Mustela erminea	heavy species
Bald Eagle	heavy species
bonobo	heavy species
European Robin	heavy species
Great Tit	heavy species
Budgerigar	heavy species
Bison bison	heavy species
Eurasian Magpie	heavy species
bobcat	heavy species
common ostrich	heavy species
Mustela nivalis	heavy species
emu	heavy species
Cockatiel	heavy species
beluga whale	heavy species
Eurasian Jay	heavy species
Okapia johnstoni	heavy species
ocelot	heavy species
Common Cuckoo	heavy species
roe deer	heavy species
Common Kingfisher	heavy species
Harpia harpyja	heavy species
European Goldfinch	heavy species
humpback whale	heavy species
White Stork	heavy species
emperor penguin	heavy species
dugong	heavy species
meerkat	heavy species
Common Nightingale	heavy species
Eurasian Blackcap	heavy species
sea otter	heavy species
Rock Dove	heavy species
Common Chaffinch	heavy species
dromedary	heavy species
giraffe	heavy species
Eurasian Eagle-owl	heavy species
Common Buzzard	heavy species
coyote	heavy species
Eurasian otter	heavy species
Grey Heron	heavy species
Chrysocyon brachyurus	heavy species
Common Kestrel	heavy species
Song Thrush	heavy species
Common Swift	heavy species
naked mole-rat	heavy species
Western Barn Owl	heavy species
Common Wood Pigeon	heavy species
aardvark	heavy species
Eurasian Blue Tit	heavy species
Great Spotted Woodpecker	heavy species
Marmota monax	heavy species
Grey Parrot	heavy species
Canada Goose	heavy species
White-tailed Eagle	heavy species
Atlantic Puffin	heavy species
Common Quail	heavy species
fallow deer	heavy species
Eurasian Sparrowhawk	heavy species
Asian elephant	heavy species
Rook	heavy species
Eurasian Bullfinch	heavy species
Eurasian Golden Oriole	heavy species
Cryptoprocta ferox	heavy species
Eurasian Collared Dove	heavy species
red kite	heavy species
Western Capercaillie	heavy species
bearded vulture	heavy species
Great Cormorant	heavy species
Eurasian Goshawk	heavy species
Tawny Owl	heavy species
European Greenfinch	heavy species
gibbon	heavy species
giant anteater	heavy species
Eurasian Nuthatch	heavy species
Varanus salvator	heavy species
black kite	heavy species
great auk	heavy species
European Green Woodpecker	heavy species
Mandarin Duck	heavy species
Muscovy Duck	heavy species
Mute Swan	heavy species
black-footed cat	heavy species
striped hyena	heavy species
Common Coot	heavy species
Secretarybird	heavy species
proboscis monkey	heavy species
aye-aye	heavy species
giant otter	heavy species
Common Myna	heavy species
Diceros bicornis	heavy species
ring-tailed lemur	heavy species
pronghorn	heavy species
Tokay gecko	heavy species
sika deer	heavy species
Goldcrest	heavy species
Red Junglefowl	heavy species
Rusty-spotted cat	heavy species
Indian Vulture	heavy species
Ortolan Bunting	heavy species
Virginia opossum	heavy species
American Robin	heavy species
blue-footed booby	heavy species
Dacelo	heavy species
Atlantic Canary	heavy species
Djungarian hamster	heavy species
Helmeted Guineafowl	heavy species
Japanese macaque	heavy species
Eastern gray squirrel	heavy species
Greylag Goose	heavy species
Great Bustard	heavy species
California condor	heavy species
Fieldfare	heavy species
Eurasian Siskin	heavy species
Northern Lapwing	heavy species
springbok	heavy species
European Bee-eater	heavy species
Great Crested Grebe	heavy species
Greater Rhea	heavy species
Yellowhammer	heavy species
Black Woodpecker	heavy species
King Penguin	heavy species
Steller’s Sea Eagle	heavy species
Black Grouse	heavy species
Rock Ptarmigan	heavy species
Sand lizard	heavy species
European Turtle Dove	heavy species
kea	heavy species
Black-headed Gull	heavy species
Black-crowned Night Heron	heavy species
Bornean orangutan	heavy species
Black Swan	heavy species
Martes zibellina	heavy species
Aardwolf	heavy species
Coal Tit	heavy species
Common Moorhen	heavy species
Chinook salmon	heavy species
Speothos venaticus	heavy species
Bassariscus astutus	heavy species
Eurasian Woodcock	heavy species
Wandering Albatross	heavy species
Northern Gannet	heavy species
European Serin	heavy species
Common Linnet	heavy species
Northern Mockingbird	heavy species
African Penguin	heavy species
degu	heavy species
Adelie penguin	heavy species
Pileated Woodpecker	heavy species
margay	heavy species
Whooper Swan	heavy species
Komondor	heavy species
Eurasian Black Vulture	heavy species
Little Egret	heavy species
South American tapir	heavy species
Great Blue Heron	heavy species
Eurasian Oystercatcher	heavy species
Laughing Kookaburra	heavy species
Australian Magpie	heavy species
Vespula germanica	heavy species
Ivory-billed Woodpecker	heavy species
Egyptian Vulture	heavy species
Spotted Flycatcher	heavy species
striped skunk	heavy species
Arctic Tern	heavy species
Little Penguin	heavy species
Thrush Nightingale	heavy species
Gray fox	heavy species
Saker Falcon	heavy species
Steller's sea lion	heavy species
Baikal seal	heavy species
Desmodus rotundus	heavy species
Viviparous lizard	heavy species
European Pied Flycatcher	heavy species
Common Gull	heavy species
Imperial Eagle	heavy species
Golden Pheasant	heavy species
Merlin	heavy species
Gentoo Penguin	heavy species
common merganser	heavy species
Common Snipe	heavy species
Eurasian Treecreeper	heavy species
Chukar Partridge	heavy species
common eland	heavy species
Great Kiskadee	heavy species
common eider	heavy species
Common Grackle	heavy species
Eurasian Bittern	heavy species
takahē	heavy species
Corn Crake	heavy species
European Honey Buzzard	heavy species
Greater Coucal	heavy species
Ruddy Shelduck	heavy species
eastern grey kangaroo	heavy species
Stock Dove	heavy species
Northern Bald Ibis	heavy species
Common Hill Myna	heavy species
Red-backed Shrike	heavy species
Great White Pelican	heavy species
Meriones unguiculatus	heavy species
Common Loon	heavy species
Japanese serow	heavy species
Hazel Grouse	heavy species
green pheasant	heavy species
Leontopithecus rosalia	heavy species
Common Potoo	heavy species
Liopleurodon	heavy species
Red Crossbill	heavy species
Japanese Quail	heavy species
Great Indian Bustard	heavy species
Siberian Crane	heavy species
Marsh Tit	heavy species
Barnacle Goose	heavy species
African Sacred Ibis	heavy species
American Flamingo	heavy species
Western Marsh Harrier	heavy species
tayra	heavy species
Rosy-faced Lovebird	heavy species
Sunda Zebra Finch	heavy species
Redwing	heavy species
Irrawaddy dolphin	heavy species
Short-toed Treecreeper	heavy species
Harris's Hawk	heavy species
Otocyon megalotis	heavy species
Willow Grouse	heavy species
numbat	heavy species
Eurasian Hobby	heavy species
Great-tailed Grackle	heavy species
Southern Lapwing	heavy species
White-nosed Coati	heavy species
Tufted Titmouse	heavy species
Black-capped Chickadee	heavy species
Schlegel's Japanese gecko	heavy species
Eurasian Curlew	heavy species
Brambling	heavy species
Wedge-tailed Eagle	heavy species
Steller's Jay	heavy species
Eastern cottontail	heavy species
hooded pitohui	heavy species
Carolina Wren	heavy species
Green-cheeked Conure	heavy species
corsac fox	heavy species
Grey Wagtail	heavy species
Giant armadillo	heavy species
Tufted Duck	heavy species
Snow Goose	heavy species
Magellanic Penguin	heavy species
Grevy's zebra	heavy species
Short-toed Snake Eagle	heavy species
Roborovski hamster	heavy species
Common Murre	heavy species
Little Grebe	heavy species
Steppe Eagle	heavy species
whooping crane	heavy species
Trumpeter Swan	heavy species
Hen Harrier	heavy species
Rose-breasted Grosbeak	heavy species
Barbary sheep	heavy species
Black-winged Stilt	heavy species
Macaroni Penguin	heavy species
Addax nasomaculatus	heavy species
Eurasian Wryneck	heavy species
Oriental Magpie Robin	heavy species
European Crested Tit	heavy species
Fischer's Lovebird	heavy species
Common Goldeneye	heavy species
southern tamandua	heavy species
House Wren	heavy species
Grey Crowned Crane	heavy species
Lepidodactylus lugubris	heavy species
Eurasian Pygmy Owlet	heavy species
Martial Eagle	heavy species
Mustela sibirica	heavy species
Australian White Ibis	heavy species
Glossy Ibis	heavy species
Gray Catbird	heavy species
Eaton's Pintail	heavy species
Bearded Reeding	heavy species
Tundra Swan	heavy species
Gyps rueppelli	heavy species
Bonelli's Eagle	heavy species
Northern Pintail	heavy species
Great Grey Shrike	heavy species
Baya Weaver	heavy species
Brown Pelican	heavy species
Rufous Hornero	heavy species
Ruff	heavy species
Blue Rock Thrush	heavy species
African Fish Eagle	heavy species
Water Rail	heavy species
Eurasian Spoonbill	heavy species
White-cheeked Starling	heavy species
Purple Martin	heavy species
Pied Crow	heavy species
House Crow	heavy species
Great Reed Warbler	heavy species
Homotherium	heavy species
Lesser Kestrel	heavy species
Common Shelduck	heavy species
Magnificent Frigatebird	heavy species
Tufted Puffin	heavy species
Red-bellied Woodpecker	heavy species
Kagu	heavy species
Icterine Warbler	heavy species
Tree Pipit	heavy species
Taiwan Blue Magpie	heavy species
Brown Booby	heavy species
Red-shouldered Hawk	heavy species
Downy Woodpecker	heavy species
Bar-tailed Godwit	heavy species
Calotes versicolor	heavy species
Shiny Cowbird	heavy species
Bar-headed Goose	heavy species
pygmy sperm whale	heavy species
Common Pochard	heavy species
American White Ibis	heavy species
White-bellied Sea Eagle	heavy species
Kori Bustard	heavy species
Southern Rockhopper Penguin	heavy species
Red-legged Partridge	heavy species
Rhinoceros Hornbill	heavy species
Crowned Eagle	heavy species
Swan Goose	heavy species
Wood Warbler	heavy species
black-tailed prairie dog	heavy species
Black-winged kite	heavy species
American pika	heavy species
Anna's Hummingbird	heavy species
Stabijhoun	heavy species
Lesser Black-backed Gull	heavy species
Hoffmann's Two-toed Sloth	heavy species
Black-tailed Godwit	heavy species
Long-billed Vulture	heavy species
Red-headed Woodpecker	heavy species
Sedge Warbler	heavy species
Eurasian Thick-knee	heavy species
Red-billed Chough	heavy species
Zebra Dove	heavy species
Purple Heron	heavy species
Song Sparrow	heavy species
Venezuelan Troupial	heavy species
Red-throated Diver	heavy species
Booted Eagle	heavy species
